Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Employment Size of the Enterprise for the United States and States, Totals - 2002",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2002 County Business Patterns and 2002 Economic Census. For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,,,,,,    Employment Size of the Enterprise,,,,,
Utah,Firms,"49,259","8,481","20,679","8,113","5,034","42,307","4,232","1,033","47,572","1,687"
,Establishments,"58,788","8,489","20,696","8,173","5,243","42,601","5,431","2,496","50,528","8,260"
,Employment,"900,428",0,"43,032","53,046","66,717","162,795","153,775","113,494","430,064","470,364"
,"Annual Payroll ($1,000)","26,174,116","412,476","1,039,890","1,256,074","1,643,759","4,352,199","4,322,073","3,365,074","12,039,346","14,134,770"
,"Receipts ($1,000)","146,056,586","2,368,953","6,193,764","6,129,172","7,471,468","22,163,357","19,894,717","17,463,638","59,521,712","86,534,874"
Vermont,Firms,"19,039","2,480","8,801","3,285","1,956","16,522","1,537",368,"18,427",612
,Establishments,"21,624","2,481","8,810","3,316","2,029","16,636","2,008","1,076","19,720","1,904"
,Employment,"258,058",0,"18,733","21,480","25,787","66,000","53,748","42,351","162,099","95,959"
,"Annual Payroll ($1,000)","7,435,893","80,380","451,866","520,519","638,352","1,691,117","1,418,778","1,272,033","4,381,928","3,053,965"
,"Receipts ($1,000)","38,565,200","483,299","2,361,527","2,411,347","2,848,788","8,104,961","6,742,505","6,615,977","21,463,443","17,101,757"
Virginia,Firms,"142,593","17,322","64,466","25,385","15,666","122,839","13,369","3,305","139,513","3,080"
,Establishments,"180,501","17,368","64,524","25,653","16,477","124,022","17,415","8,907","150,344","30,157"
,Employment,"2,914,804",0,"137,812","166,419","208,364","512,595","489,560","400,773","1,402,928","1,511,876"
,"Annual Payroll ($1,000)","101,693,473","894,190","3,652,215","4,534,186","6,135,178","15,215,769","15,854,396","14,268,909","45,339,074","56,354,399"
,"Receipts ($1,000)","552,154,646","4,431,147","18,719,019","19,013,603","23,757,897","65,921,666","63,418,018","58,712,404","188,052,088","364,102,558"
Washington,Firms,"138,256","19,895","64,185","23,311","14,177","121,568","11,471","2,653","135,692","2,564"
,Establishments,"165,933","19,902","64,255","23,556","14,929","122,642","15,614","7,141","145,397","20,536"
,Employment,"2,185,658",0,"134,510","152,274","187,567","474,351","409,795","312,251","1,196,397","989,261"
,"Annual Payroll ($1,000)","83,127,354","882,276","3,437,784","4,167,644","5,478,367","13,966,071","13,297,175","11,325,692","38,588,938","44,538,416"
,"Receipts ($1,000)","442,037,545","4,619,463","20,403,816","19,756,690","23,756,030","68,535,999","59,707,859","51,478,214","179,722,072","262,315,473"
West Virginia,Firms,"32,669","3,291","15,288","5,912","3,518","28,009","2,878",710,"31,597","1,072"
,Establishments,"40,488","3,293","15,313","5,978","3,711","28,295","4,004","2,099","34,398","6,090"
,Employment,"561,478",0,"33,230","38,616","46,715","118,561","102,995","81,042","302,598","258,880"
,"Annual Payroll ($1,000)","14,810,856","94,508","605,221","792,857","1,038,748","2,531,334","2,525,039","1,958,714","7,015,087","7,795,769"
,"Receipts ($1,000)","83,603,635","539,503","3,494,215","3,842,070","4,849,952","12,725,740","11,980,656","9,465,871","34,172,267","49,431,368"
Wisconsin,Firms,"115,980","14,068","49,928","20,779","14,002","98,777","12,253","2,611","113,641","2,339"
,Establishments,"142,086","14,088","49,969","21,001","14,751","99,809","16,230","7,440","123,479","18,607"
,Employment,"2,355,816",0,"106,115","136,849","187,292","430,256","462,718","373,608","1,266,582","1,089,234"
,"Annual Payroll ($1,000)","75,312,842","507,932","2,626,632","3,426,720","4,952,468","11,513,752","13,003,605","11,279,275","35,796,632","39,516,210"
,"Receipts ($1,000)","427,490,637","3,017,169","14,653,195","15,590,737","21,455,978","54,717,079","59,546,734","54,750,600","169,014,413","258,476,224"
Wyoming,Firms,"16,465","2,292","7,553","2,825","1,655","14,325","1,285",295,"15,905",560
,Establishments,"18,769","2,296","7,557","2,843","1,736","14,432","1,785",638,"16,855","1,914"
,Employment,"177,828",0,"16,105","18,406","21,510","56,021","41,738","25,473","123,232","54,596"
,"Annual Payroll ($1,000)","5,051,086","65,752","356,651","405,898","491,680","1,319,981","1,099,815","744,304","3,164,100","1,886,986"
,"Receipts ($1,000)","32,674,360","384,410","1,871,092","1,852,026","2,123,861","6,231,389","5,841,772","3,803,714","15,876,875","16,797,485"
